# Dos Hermanas area (37.28749765023422, -5.923503017051423) +-0.001
37.28749765023422,-5.923503017051423
37.28849765023422,-5.922503017051423
37.28649765023422,-5.924503017051423
37.28799765023422,-5.923003017051423
37.28699765023422,-5.923903017051423
37.28749765023422,-5.922503017051423
37.28849765023422,-5.924503017051423
37.28649765023422,-5.922503017051423
37.28749765023422,-5.924503017051423
37.28799765023422,-5.922803017051423
37.28699765023422,-5.924203017051423
37.28749765023422,-5.923803017051423
37.28779765023422,-5.923203017051423
37.28719765023422,-5.923803017051423
37.28749765023422,-5.923103017051423
37.28829765023422,-5.923703017051423
37.28669765023422,-5.922703017051423
37.28749765023422,-5.924303017051423
37.28849765023422,-5.923103017051423
37.28649765023422,-5.923503017051423
# Reina Mercedes area (37.359657988154666, -5.986218587281724) +-0.00015
37.359657988154666,-5.986218587281724
37.359807988154666,-5.986068587281724
37.359507988154666,-5.986368587281724
37.359657988154666,-5.986068587281724
37.359657988154666,-5.986368587281724
37.359757988154666,-5.986218587281724
37.359557988154666,-5.986218587281724
37.359807988154666,-5.986318587281724
37.359507988154666,-5.986118587281724
37.359707988154666,-5.986168587281724
37.359607988154666,-5.986268587281724
37.359757988154666,-5.986118587281724
37.359557988154666,-5.986318587281724
37.359807988154666,-5.986218587281724
37.359507988154666,-5.986218587281724
37.359657988154666,-5.986108587281724
37.359657988154666,-5.986328587281724
37.359737988154666,-5.986198587281724
37.359577988154666,-5.986238587281724
37.359647988154666,-5.986228587281724
